Feature;Description;Tag
drug;imatinib;No
drug;imiquimod;No
drug;immunotherapy;No
psychologic interventions;impairment intervention;Yes
other interventions;impatiens balsamina  ;Yes
other interventions;imperata arundinacea;Yes
medical device;implant;No
psychologic interventions;implosive therapy;Yes
drug;incadronate;No
surgery;incision;No
drug;indibulin;No
other interventions;indigo naturalis;Yes
other interventions;indigowood root;Yes
psychologic interventions;individual support;Yes
psychologic interventions;individualize intervention;Yes
nutritional interventions;individualize nutritional support;Yes
other interventions;indoor tanning;Yes
nutritional interventions;infant formula;Yes
other interventions;information brochure;Yes
other interventions;informational video;Yes
invasive treatment;infusion;No
invasive treatment;infusion line;No
invasive treatment;infusion pump;No
invasive treatment;injection;No
drug;inosine dialdehyde;No
physical interventions;inspiratory muscle train;Yes
other interventions;integrate intervention;Yes
other interventions;integrative care;Yes
other interventions;integrative medicine;Yes
other interventions;intense pulsed light therapy;Yes
physical interventions;intensity exercise program;Yes
physical interventions;intensive lifestyle intervention;Yes
physical interventions;intensive program;Yes
invasive treatment;interaction;No
physical interventions;interdisciplinary rehabilitation;Yes
drug;interferon;No
drug;interleukin;No
numerical interventions;internet;Yes
psychologic interventions;interprofessional supportive care;Yes
other interventions;intervention program;Yes
invasive treatment;intraarterial;No
invasive treatment;intramuscular injection;No
invasive treatment;intramuscular injections;No
surgery;intraoperative;No
invasive treatment;intraperitoneal;No
invasive treatment;intrathecal;No
invasive treatment;intravenous;No
invasive treatment;intravenous administration;No
invasive treatment;intravenous nutrition;No
drug;intravenous recombinant human lymphotoxin alpha derivative;No
invasive treatment;intravesical;No
invasive treatment;intubation;No
other interventions;inula britannica;Yes
other interventions;inula helenium;Yes
other interventions;inula racemosa;Yes
psychologic interventions;invitation letter;Yes
psychologic interventions;invitational programme;Yes
drug;iodine 131 humanized mn 14 immunoglobulin g;No
drug;iododeoxyuridine;No
nutritional interventions;ionomycin;Yes
other interventions;ipomoea;Yes
other interventions;ipomoea batatas;Yes
other interventions;ipomoea cairica;Yes
drug;iressa;No
drug;irinotecan;No
other interventions;iris tectorum;Yes
drug;irofulven;No
nutritional interventions;iron;Yes
radiotherapy;irradiation;No
other interventions;isatis indigotica;Yes
other interventions;isatis tinctoria;Yes
nutritional interventions;isoflavone;Yes
nutritional interventions;isoflavones;Yes
physical interventions;isometric exercise;Yes
other interventions;isopathy;Yes
nutritional interventions;isoprostanes;Yes
drug;isosfamide;No
drug;ispinesib;No
drug;ivermectin;No
drug;ixabepilone;No
other interventions;iyengar;Yes
physical interventions;jackets,;Yes
other interventions;japanese herb;Yes
other interventions;jasminum officinalis;Yes
other interventions;jasminum sambac;Yes
other interventions;jen shen;Yes
other interventions;ji;Yes
other interventions;ji cai  yu xing cao;Yes
other interventions;ji li;Yes
other interventions;ji nei jin;Yes
other interventions;ji ning;Yes
other interventions;ji song rong;Yes
other interventions;ji tui mo;Yes
other interventions;ji xue teng;Yes
other interventions;ji zi huang;Yes
other interventions;jia bi bo;Yes
other interventions;jia wei si jun zi tang;Yes
other interventions;jia ye shu;Yes
other interventions;jia ye song guo;Yes
other interventions;jia zhu tao;Yes
other interventions;jian hua;Yes
other interventions;jian qiao di huang;Yes
other interventions;jian wei feng;Yes
other interventions;jian ye fan xie;Yes
other interventions;jian ye tie shu;Yes
other interventions;jiang;Yes
other interventions;jiang huang;Yes
other interventions;jiangang;Yes
other interventions;jianpi tongli;Yes
other interventions;jianpikangfu;Yes
other interventions;jiao gu lan;Yes
other interventions;jie geng;Yes
other interventions;jie gu mu;Yes
other interventions;jie shi;Yes
other interventions;jie zi;Yes
other interventions;jiedu;Yes
other interventions;jiedu huoxue;Yes
other interventions;jiedu xiaozheng yin;Yes
other interventions;jin bian hai tong;Yes
other interventions;jin gu cao;Yes
other interventions;jin mao gou ji;Yes
other interventions;jin qian bai hua she;Yes
other interventions;jin qian cao;Yes
other interventions;jin que hua;Yes
other interventions;jin wen da huang;Yes
other interventions;jin yin hua;Yes
other interventions;jin yin zi;Yes
other interventions;jin zhen gu;Yes
other interventions;jing jie;Yes
other interventions;jinlong;Yes
other interventions;jiu cai;Yes
other interventions;jiu jie feng;Yes
other interventions;jiu xiang chong;Yes
other interventions;jojoba;Yes
other interventions;jojoba wax;Yes
other interventions;ju hong;Yes
other interventions;ju hua;Yes
other interventions;ju mai cai;Yes
other interventions;ju san qi;Yes
other interventions;ju zong lu;Yes
other interventions;jue ming zi;Yes
other interventions;juglans mandshurica;Yes
other interventions;juglans regia;Yes
other interventions;juncus effusus;Yes
other interventions;jussiaea repens;Yes
other interventions;justicia gendarussa ;Yes
other interventions;ka wa hu jiao;Yes
other interventions;kadsura longipedunculata;Yes
other interventions;kaempferia galanga;Yes
drug;kahalalide f;No
other interventions;kampo;Yes
other interventions;kangliu zengxiao;Yes
other interventions;kava;Yes
other interventions;ke fei;Yes
other interventions;ke le guo;Yes
nutritional interventions;kefir;Yes
drug;ketamine midazolam;No
nutritional interventions;ketogenic;Yes
drug;keyhole limpet;No
physical interventions;kinesiology;Yes
physical interventions;kinesitherapies;Yes
physical interventions;kinesitherapy;Yes
physical interventions;knee rehabilitation;Yes
other interventions;kochia scoparia;Yes
other interventions;kola vera;Yes
nutritional interventions;koumiss;Yes
other interventions;ku ai;Yes
other interventions;ku ao;Yes
other interventions;ku ban;Yes
other interventions;ku gua;Yes
other interventions;ku lian zi;Yes
other interventions;ku liang jiang;Yes
other interventions;ku shen;Yes
other interventions;ku wei ye xia zhu;Yes
other interventions;ku xing ren;Yes
other interventions;ku zhu;Yes
other interventions;kuan dong hua;Yes
other interventions;kui hua;Yes
other interventions;kun bu;Yes
physical interventions;kundalini;Yes
other interventions;l tryptophan;Yes
other interventions;la gen;Yes
other interventions;la jiao;Yes
other interventions;la ju;Yes
other interventions;la liao;Yes
other interventions;laau lapaau;Yes
nutritional interventions;lactobacillus;Yes
nutritional interventions;lactobacillus casei;Yes
other interventions;lactoferrin;Yes
other interventions;laetrile;Yes
other interventions;lagenaria siceraria;Yes
other interventions;lagerstroemia speciosa;Yes
other interventions;lai fu zi;Yes
other interventions;laminaria japonica;Yes
physical interventions;lamps;Yes
other interventions;lan ren;Yes
other interventions;lang du;Yes
psychologic interventions;language therapy;Yes
other interventions;languas galanga;Yes
other interventions;lao guan cao;Yes
other interventions;lao shu wei;Yes
medical examination;laparoscopic;No
medical examination;laparoscopy;No
drug;lapatinib;No
medical examination;laryngoscopy;No
other interventions;lashiosphaera fenzli;Yes
psychologic interventions;laugh;Yes
psychologic interventions;laughing;Yes
other interventions;lavandin;Yes
other interventions;lavandula angustifolia;Yes
other interventions;lavender;Yes
other interventions;leaf;Yes
other interventions;learning;Yes
physical interventions;leech;Yes
nutritional interventions;legume;Yes
nutritional interventions;legumes;Yes
other interventions;lei gong teng;Yes
other interventions;lei wan;Yes
other interventions;lemna minor;Yes
nutritional interventions;lemon;Yes
drug;lenograstin ;No
other interventions;lentinus;Yes
other interventions;leonurus heterophyllus;Yes
other interventions;leonurus sibiricus;Yes
other interventions;lepidium apetalum;Yes
other interventions;lepidium micranthum;Yes
drug;letrozole;No
psychologic interventions;letter;Yes
other interventions;leucaena leucocephala;Yes
drug;leucovorin;No
drug;levamisole;No
drug;levetiracetam;No
other interventions;levocarnitine;Yes
drug;lexatumumab;No
other interventions;li lu;Yes
other interventions;li zhi he;Yes
other interventions;lian qiao;Yes
other interventions;lian zi;Yes
other interventions;lian zi cao;Yes
other interventions;liandai;Yes
other interventions;liang dang;Yes
drug;liarozole;No
other interventions;lichen planus;Yes
other interventions;licorice root;Yes
psychologic interventions;life program;Yes
psychologic interventions;life therapy;Yes
psychologic interventions;lifestyle;Yes
other interventions;ligusticum acutilobum;Yes
other interventions;ligusticum ibukiene;Yes
other interventions;ligusticum japonium;Yes
other interventions;ligusticum sinense;Yes
other interventions;ligustrum lucidum;Yes
other interventions;lilium brownii;Yes
physical interventions;limb holders;Yes
medical device;limb prosthesis devices;No
nutritional interventions;limitation diet;Yes
other interventions;limonitum;Yes
other interventions;lindera aggregata;Yes
other interventions;lindera strychnifolia;Yes
other interventions;ling xiao hua;Yes
other interventions;ling yang jiao;Yes
other interventions;ling zhi;Yes
nutritional interventions;linoleic acid;Yes
other interventions;linseed;Yes
other interventions;linum usitatissimum;Yes
nutritional interventions;lipid replacement therapy;Yes
drug;lipiodal;No
other interventions;liquid ayurvedic;Yes
other interventions;liquidamber taiwaniana;Yes
other interventions;liriope graminifoia;Yes
drug;lishengsu;No
other interventions;litchi chinensis;Yes
drug;lithium carbonate;No
other interventions;lithospermum officinale;Yes
physical interventions;lithotherapies;Yes
physical interventions;lithotherapy;Yes
other interventions;litsea cubeba;Yes
other interventions;liu ji nu;Yes
other interventions;liu lian;Yes
other interventions;liu yue xue;Yes
psychologic interventions;live relaxation;Yes
other interventions;llian qian cao;Yes
other interventions;lobelia;Yes
other interventions;lobelia radicans;Yes
other interventions;lodoicea maldivica;Yes
drug;lomustine;No
other interventions;long dan;Yes
physical interventions;long fast;Yes
physical interventions;long fasting;Yes
other interventions;long gu;Yes
other interventions;long nao;Yes
other interventions;long nao xiang;Yes
other interventions;long xian xiang;Yes
other interventions;long yan;Yes
other interventions;lonicera japonica;Yes
drug;lonidamine;No
other interventions;lophatherum gracile;Yes
drug;lorazepam;No
other interventions;lou lu;Yes
radiotherapy;low dose;No
radiotherapy;low dose rate;No
drug;loxoribine;No
other interventions;lu e mei;Yes
other interventions;lu feng fang;Yes
other interventions;lu gen;Yes
other interventions;lu hui;Yes
other interventions;lu jiao;Yes
other interventions;lu lu tong;Yes
other interventions;lu rong;Yes
other interventions;lu rong cao;Yes
other interventions;luffa acutangula;Yes
other interventions;luffa aegyptica;Yes
other interventions;luffa cylindrica;Yes
other interventions;luliu;Yes
physical interventions;lumbar support;Yes
other interventions;luo bu ma;Yes
other interventions;luo shen hua;Yes
other interventions;luo shen kui;Yes
other interventions;luo shi teng;Yes
other interventions;luo wang guo;Yes
other interventions;luo wang zi;Yes
other interventions;luo yan cao;Yes
other interventions;lutein;Yes
other interventions;luteolin;Yes
other interventions;lycium;Yes
other interventions;lycium barbarum;Yes
other interventions;lycium chinense;Yes
nutritional interventions;lycopene;Yes
other interventions;lycoperdon gemmatum;Yes
other interventions;lycopodiastrum casuarinoides;Yes
other interventions;lycopodium cernum;Yes
other interventions;lycopodium  clavatum;Yes
other interventions;lycopus lucidus;Yes
other interventions;lycoris ratiata;Yes
other interventions;lygodium japonicum;Yes
physical interventions;lymphatic drainage;Yes
medical examination;lymphoscintigraphy;No
other interventions;lysimachia christinae;Yes
other interventions;lysimachia fortunei;Yes
other interventions;lytta vesicatoria;Yes
other interventions;ma bao;Yes
other interventions;ma bian cao;Yes
other interventions;ma bo;Yes
other interventions;ma chi xian;Yes
other interventions;ma dou ling;Yes
other interventions;ma douing;Yes
other interventions;ma huang;Yes
other interventions;ma qian zi;Yes
other interventions;ma ren;Yes
other interventions;ma sang;Yes
other interventions;ma wei dang gui;Yes
drug;macop b;No
nutritional interventions;macrobiotic;Yes
psychologic interventions;magic;Yes
nutritional interventions;magnesium;Yes
other interventions;magnet;Yes
other interventions;magnetic heal;Yes
medical examination;magnetic resonance cholangiopancreatography;No
medical examination;magnetic resonance imagery;No
other interventions;magnetic stimulation;Yes
other interventions;magnetic therapy;Yes
other interventions;magnetics;Yes
other interventions;magnolia kobus   ;Yes
other interventions;magnolia obovata   ;Yes
other interventions;magnolia officinalis;Yes
other interventions;mahonia japonica;Yes
other interventions;mai dong;Yes
other interventions;maitake;Yes
other interventions;make up;Yes
other interventions;mallotus apelta;Yes
other interventions;malva crispa;Yes
other interventions;malva verticillata;Yes
medical examination;mammography;No
other interventions;man jing zi;Yes
other interventions;man tuo luo;Yes
psychologic interventions;management health intervention;Yes
other interventions;manganese;Yes
physical interventions;mangosteen;Yes
other interventions;manihot utilissima;Yes
physical interventions;manipulation boards;Yes
physical interventions;manipulation chiropractic;Yes
physical interventions;manipulation osteopathic;Yes
physical interventions;manipulative therapy;Yes
physical interventions;manual lymphatic drainage;Yes
physical interventions;manual medicine technique;Yes
physical interventions;manual therapy;Yes
other interventions;manyleaf paris rhizome;Yes
other interventions;mao gen;Yes
other interventions;mao gen xi qian;Yes
other interventions;mao liang;Yes
other interventions;mao ren shen;Yes
other interventions;mao xu cha;Yes
other interventions;mao zhua cao;Yes
nutritional interventions;margarine;Yes
other interventions;marijuana;Yes
other interventions;marine;Yes
other interventions;marlea platanifolia;Yes
other interventions;marsdeniae tenacissimae extract;Yes
other interventions;mass screening;Yes
physical interventions;massage;Yes
physical interventions;massaging equipment;Yes
surgery;mastectomy;No
physical interventions;mat platforms;Yes
psychologic interventions;maternal education;Yes
psychologic interventions;maternal recommendation;Yes
other interventions;matricaria recutita;Yes
nutritional interventions;mayo diet;Yes
drug;maytansine;No
psychologic interventions;mbcr;Yes
psychologic interventions;mbsr;Yes
nutritional interventions;meal;Yes
drug;mechlorethamine;No
numerical interventions;media intervention;Yes
numerical interventions;medical device;Yes
medical examination;medical imaging;No
physical interventions;medical whirlpools;Yes
other interventions;medicata fermentita fujianensis massa;Yes
drug;medication;No
other interventions;medicinal herb;Yes
other interventions;medicinal herbs;Yes
other interventions;medicinal mushroom;Yes
other interventions;medicinal plant;Yes
other interventions;medicinal plants;Yes
nutritional interventions;medicinal teas;Yes
psychologic interventions;meditation;Yes
nutritional interventions;mediterranean diet;Yes
drug;medroxyprogesterone acetate;No
drug;meflep;No
other interventions;mega vitamin therapy;Yes
other interventions;megadose vitamin;Yes
other interventions;megavitamins;Yes
drug;megestrol acetate;No
other interventions;mei gui hua;Yes
other interventions;mei pian;Yes
other interventions;melaleuca;Yes
other interventions;melaleuca alternifolia;Yes
other interventions;melaleuca leucadendron;Yes
other interventions;melastoma normale;Yes
other interventions;melatonin;Yes
other interventions;melia azedarach;Yes
other interventions;melia toosendan;Yes
drug;melphalan;No
psychologic interventions;memory improvement program;Yes
psychologic interventions;memory train;Yes
drug;menadione;No
other interventions;meng chong;Yes
drug;menogaril;No
psychologic interventions;mental heal;Yes
psychologic interventions;mental healing;Yes
psychologic interventions;mental visualization;Yes
other interventions;mentha arvensis;Yes
other interventions;mentha piperita;Yes
drug;meperidine midazolam;No
drug;merbarone;No
other interventions;mercury chloride;Yes
drug;methadone;No
drug;methotrexate;No
drug;methoxyestradiol;No
drug;methyl ccnu;No
drug;methylnaltrexone;No
drug;methylpentylaminopropylidenebisphosphonate;No
drug;methylphenidate;No
other interventions;methylsulfonylmethane;Yes
physical interventions;meziere method;Yes
other interventions;mi hou tao;Yes
other interventions;mi huan shu wei cao;Yes
other interventions;mi meng hua;Yes
other interventions;mian mao ma dou ling;Yes
other interventions;microcos paniculata;Yes
other interventions;microwave energy;Yes
psychologic interventions;milieu therapy;Yes
nutritional interventions;milk;Yes
other interventions;millettia dielsiana;Yes
other interventions;millettia reticulata     ;Yes
other interventions;millettia speciosa;Yes
psychologic interventions;mind body;Yes
psychologic interventions;mind body therapies;Yes
psychologic interventions;mind practice;Yes
psychologic interventions;mindfulness;Yes
nutritional interventions;mineral supplementation;Yes
nutritional interventions;minerals;Yes
other interventions;ming fan;Yes
drug;minocycline ethylenediaminetetraacetate;No
other interventions;misgurnus anguilicaudatus;Yes
drug;misoniclorazole;No
other interventions;mistletoe;Yes
drug;mitoguazone;No
drug;mitomycin;No
drug;mitoxantrone;No
other interventions;mo ku er mo yao;Yes
other interventions;mo yao;Yes
numerical interventions;mobile application;Yes
numerical interventions;mobile applications;Yes
numerical interventions;mobile health;Yes
numerical interventions;mobile phone;Yes
physical interventions;mobility platforms;Yes
physical interventions;moderate intensity exercise;Yes
drug;mofetif;No
other interventions;moghania philippinensis;Yes
other interventions;moi hua;Yes
other exclusion words;molecular;No
other exclusion words;molecule;No
other interventions;momordica charantia;Yes
other interventions;momordica cochinchinensis;Yes
other interventions;monochasma sheareri;Yes
drug;monoclonal;No
nutritional interventions;monounsaturated fatty acids;Yes
nutritional interventions;monthly nutrition;Yes
other interventions;morinda;Yes
other interventions;morinda citrifolia;Yes
other interventions;morinda officinalis;Yes
drug;morphine;No
other interventions;morus australis;Yes
other interventions;morus bombycis;Yes
other interventions;morus multicaulis;Yes
other interventions;moschus moschiferus;Yes
other interventions;mosla grosseserrata;Yes
physical interventions;motion articular;Yes
other interventions;motivational intervention;Yes
other interventions;motivational interviewing;Yes
other interventions;motivational pamphlet;Yes
physical interventions;motor activity;Yes
physical interventions;motor exercise;Yes
physical interventions;mountaineering;Yes
physical interventions;moxibustion;Yes
other interventions;mu bie zi;Yes
other interventions;mu dan;Yes
other interventions;mu dan pi;Yes
other interventions;mu fang ji;Yes
other interventions;mu fu rong;Yes
other interventions;mu gua;Yes
other interventions;mu hu die;Yes
other interventions;mu jin pi;Yes
other interventions;mu li;Yes
other interventions;mu mian;Yes
other interventions;mu shu;Yes
other interventions;mu tong;Yes
other interventions;mu tou hui;Yes
other interventions;mu xiang;Yes
other interventions;mu zei;Yes
other interventions;mucuna cochinchinensis;Yes
other interventions;mucuna pruriens;Yes
physical interventions;mud therapy;Yes
other interventions;multi component intervention;Yes
drug;multi drug;No
drug;multidrug resistance;No
drug;multidrugs;No
numerical interventions;multimedia health education intervention;Yes
numerical interventions;multimedia program;Yes
physical interventions;multimodal exercise;Yes
physical interventions;multimodal therapy;Yes
nutritional interventions;multivitamin;Yes
other interventions;murdannia bracteata;Yes
other interventions;musa paradisiaca;Yes
other interventions;musa sapientum;Yes
physical interventions;muscle relaxation;Yes
physical interventions;muscle stimulators;Yes
physical interventions;muscle strength;Yes
physical interventions;muscle stretch exercise;Yes
physical interventions;muscle stretching exercises;Yes
physical interventions;musculoskeletal manipulation;Yes
physical interventions;musculoskeletal manipulations;Yes
psychologic interventions;music;Yes
psychologic interventions;music therapy;Yes
other interventions;mussaenda divaricata;Yes
nutritional interventions;mustard;Yes
other interventions;mycelium;Yes
other interventions;mylabirs cichorii ;Yes
other interventions;myristica fragrans;Yes
other interventions;n acetylcysteine;Yes
other interventions;nan gua zi;Yes
other interventions;nan jiang;Yes
other interventions;nan tian zhu;Yes
other interventions;nan wu wei zi;Yes
other interventions;nandina domestica;Yes
medical device;nanogastric tube;No
other interventions;nao yang hua;Yes
other interventions;narcissus tazetta;Yes
psychologic interventions;narratives;Yes
physical interventions;nasal irrigation;Yes
medical device;nasojejunal;No
other interventions;natural antimicrobial;Yes
other interventions;natural health;Yes
other interventions;natural medicine;Yes
other interventions;natural therapy;Yes
other interventions;naturopathic;Yes
other interventions;naturopathy;Yes
physical interventions;navigation program;Yes
nutritional interventions;navy bean;Yes
drug;nedaplatin;No
invasive treatment;needle;No
physical interventions;needle moxibustion;Yes
physical interventions;negative pressure wound therapy;Yes
other interventions;nei meng huang qi;Yes
other interventions;nelumbo nucifera;Yes
drug;neo macop b;No
drug;neocarzinostatin;No
other interventions;nepeta japonica;Yes
surgery;nephrectomy;No
other interventions;nerium incidum;Yes
other interventions;nerium odorum;Yes
physical interventions;nerve electrical stimulation;Yes
drug;netilmicin;No
psychologic interventions;neuro linguistic programme;Yes
physical interventions;neuro reflexotherapy;Yes
psychologic interventions;neurofeedback;Yes
medical examination;neurofiberscopic biopsy;No
medical examination;neuroimaging;No
physical interventions;neuromuscular electrical stimulation;Yes
drug;neurophysins;No
physical interventions;neuropsychotherapeutic intervention;Yes
medical device;neurostimulator implantable;No
radiotherapy;neutron;No
other interventions;ni qiu;Yes
nutritional interventions;niacin;Yes
other interventions;nie ge mi hou tao;Yes
other interventions;nigella sativa  ;Yes
drug;nitric oxide synthases;No
drug;nitrosourea fotemustine;No
other interventions;niu bang zi;Yes
other interventions;niu bian;Yes
other interventions;niu da li teng;Yes
other interventions;niu huang;Yes
other interventions;niu xi;Yes
drug;nolatrexed dehydrodrochloride;No
physical interventions;non conventional therapy;Yes
other interventions;non drug;Yes
other interventions;non pharmaceutical;Yes
other interventions;non pharmacologic;Yes
other interventions;non pharmacological;Yes
other interventions;non phaxm intervention;Yes
other interventions;non phaxmacologic intervention;Yes
other interventions;nondrug;Yes
other interventions;nondrug relate;Yes
other interventions;nong ji li;Yes
other interventions;noni;Yes
other interventions;nonpharm intervention;Yes
other interventions;nonpharmaceutical;Yes
other interventions;nonpharmacologic;Yes
other interventions;nonpharmacological;Yes
drug;norfloxacin;No
other interventions;nothosmyrnium japonicum;Yes
other interventions;notopterygium forbesii;Yes
other interventions;notopterygium incisum;Yes
other interventions;nourishing yin;Yes
other interventions;nu er cha;Yes
other interventions;nu zhen zi;Yes
medical examination;nuclear;No
psychologic interventions;nurse care;Yes
psychologic interventions;nurse communication skill;Yes
psychologic interventions;nurse intervention;Yes
psychologic interventions;nurse knowledge;Yes
psychologic interventions;nurse supportive care;Yes
psychologic interventions;nursing education programme;Yes
nutritional interventions;nutraceutical;Yes
nutritional interventions;nutrient intake;Yes
nutritional interventions;nutrient intervention;Yes
nutritional interventions;nutrition assessment;Yes
nutritional interventions;nutrition booklet;Yes
nutritional interventions;nutrition care;Yes
nutritional interventions;nutrition consultation;Yes
nutritional interventions;nutrition counsel;Yes
nutritional interventions;nutrition education;Yes
nutritional interventions;nutrition environment;Yes
nutritional interventions;nutrition guideline;Yes
nutritional interventions;nutrition intervention;Yes
nutritional interventions;nutrition knowledge;Yes
nutritional interventions;nutrition practice;Yes
nutritional interventions;nutrition prevention;Yes
nutritional interventions;nutrition program;Yes
nutritional interventions;nutrition routine;Yes
nutritional interventions;nutrition supplement;Yes
nutritional interventions;nutrition supplementation;Yes
nutritional interventions;nutrition therapy;Yes
nutritional interventions;nutritional brochure;Yes
nutritional interventions;nutritional change;Yes
nutritional interventions;nutritional counsel;Yes
nutritional interventions;nutritional counseling;Yes
nutritional interventions;nutritional education program;Yes
nutritional interventions;nutritional habit;Yes
nutritional interventions;nutritional intervention;Yes
nutritional interventions;nutritional management;Yes
nutritional interventions;nutritional measure;Yes
nutritional interventions;nutritional pattern;Yes
nutritional interventions;nutritional pharmacology;Yes
nutritional interventions;nutritional physiological phenomena;Yes
nutritional interventions;nutritional powder;Yes
nutritional interventions;nutritional product;Yes
nutritional interventions;nutritional protocol;Yes
nutritional interventions;nutritional science;Yes
nutritional interventions;nutritional supplement;Yes
nutritional interventions;nutritional supplementation;Yes
nutritional interventions;nutritional support;Yes
nutritional interventions;nutritional supportive therapy;Yes
nutritional interventions;nutritional therapy;Yes
nutritional interventions;nuts;Yes
drug;o 2 18ffluorethyl l tyrosine pet;No
drug;o6 benzylguanine;No
other interventions;occupational health;Yes
psychologic interventions;occupational therapy;Yes
other interventions;ocimum aristatum;Yes
other interventions;ocimum sanctum;Yes
drug;octreotide;No
medical examination;oculographic;No
nutritional interventions;oil co supplementation;Yes
nutritional interventions;oil diet;Yes
nutritional interventions;oil emulsion intervention;Yes
other interventions;oil extract;Yes
other interventions;oils volatile;Yes
other interventions;oldenlandia diffusa;Yes
other interventions;olive leaf;Yes
nutritional interventions;olive oil;Yes
nutritional interventions;omega;Yes
nutritional interventions;omega 3;Yes
nutritional interventions;omega 3 fatty acids;Yes
nutritional interventions;omega 6;Yes
nutritional interventions;omega 6 fatty acids;Yes
nutritional interventions;omega 9;Yes
physical interventions;onco move;Yes
nutritional interventions;onion;Yes
nutritional interventions;onions;Yes
other interventions;operculina turpethum;Yes
other interventions;ophiopogon japonicus;Yes
medical examination;ophthalmoscopy;No
drug;opioid;No
drug;opioids codeine;No
other interventions;opsithoplatia orientalis;Yes
other interventions;opuntia dillenii;Yes
physical interventions;oral hygiene;Yes
nutritional interventions;oral nutritional supplement;Yes
nutritional interventions;oral nutritional supplements;Yes
nutritional interventions;oral supplement;Yes
nutritional interventions;oral supplementation;Yes
nutritional interventions;oral supplements;Yes
other interventions;oregano;Yes
nutritional interventions;organic diet;Yes
nutritional interventions;organotherapy;Yes
psychologic interventions;orgonomy;Yes
psychologic interventions;orientation program;Yes
other interventions;origanum vulgare;Yes
other interventions;orixa japonica;Yes
other interventions;oroxylum indicum;Yes
nutritional interventions;orthomolecular medicine;Yes
physical interventions;orthopedic boots;Yes
physical interventions;orthopedic manipulation;Yes
physical interventions;orthopedic shoes;Yes
other interventions;orthosiphon aristatus;Yes
other interventions;orthosiphon stamineus;Yes
other interventions;oryza sativa;Yes
other interventions;os tigris;Yes
physical interventions;oscillatory positive expiratory pressure;Yes
physical interventions;ossebo;Yes
physical interventions;osteomyology;Yes
physical interventions;osteopathic;Yes
physical interventions;osteopathic manipulation;Yes
physical interventions;osteopathy;Yes
other interventions;ostrea cucullata;Yes
physical interventions;otago program;Yes
medical examination;otoscopy;No
other interventions;ou chan pu gong ying;Yes
other interventions;ou mao gen;Yes
other interventions;ourouparia rhynchophylla;Yes
drug;oxaliplatin ;No
drug;oxidized mannan muc1;No
nutritional interventions;oxylipins;Yes
medical device;pacemaker;No
other interventions;pachma hoelen;Yes
other interventions;pachyrhizus erosus;Yes
physical interventions;packs;Yes
drug;paclitaxel;No
drug;pacritinib;No
physical interventions;pads;Yes
other interventions;paeonia albiflora;Yes
other interventions;paeonia suffruticosa;Yes
other interventions;paeonia moutan;Yes
nutritional interventions;paleolithic;Yes
nutritional interventions;paleolithic diet;Yes
other interventions;palm oil;Yes
other interventions;palmitic acid;Yes
drug;pamidronate;No
other interventions;panax;Yes
other interventions;panax ginseng;Yes
other interventions;panax japonicum;Yes
other interventions;panax pseudoginseng;Yes
other interventions;panax quinquefolium;Yes
other interventions;pandanus amaryllifolius;Yes
other interventions;pang da hai;Yes
drug;panipenem;No
drug;panitumumab;No
other interventions;pantothenic acid;Yes
other interventions;paparver somniferum;Yes
physical interventions;paraffin bath;Yes
physical interventions;parallel bars;Yes
other interventions;parameria laevigata;Yes
psychologic interventions;parent base intervention;Yes
medical device;parenteral;No
invasive treatment;parenteral glutamine;No
invasive treatment;parenteral nutrition;No
other interventions;parietaria;Yes
other interventions;paris polyphylla;Yes
other interventions;parochetus communis;Yes
drug;paroxetine;No
nutritional interventions;parsley;Yes
other interventions;passionflower;Yes
physical interventions;patches;Yes
other interventions;patrinia heterophylla;Yes
other interventions;patrinia scabiosaefolia;Yes
other interventions;patrinia scabra;Yes
drug;patupilone;No
other interventions;paullinia;Yes
other interventions;paullinia cupana;Yes
physical interventions;pedometers;Yes
drug;pegfilgrastim;No
other interventions;pei lan;Yes
other interventions;peliosanthes macrophylla;Yes
drug;pembrolizumab;No
drug;pemetrexid;No
other interventions;peng e zhu;Yes
other interventions;peng sha;Yes
drug;penicillin;No
other interventions;pennyroyal;Yes
drug;pentamethylmelamine;No
drug;pentostatin;No
drug;peplomycin;No
other interventions;peppermint;Yes
invasive treatment;percutaneous;No
invasive treatment;perfusion;No
other interventions;perichaeta communissma;Yes
other interventions;perilla frutescens;Yes
nutritional interventions;perioperative nutritional support;Yes
nutritional interventions;perioperative supplementation;Yes
surgery;peripheral bypass;No
physical interventions;peripheral electrical stimulation;Yes
physical interventions;peripheral nerve stimulation;Yes
other interventions;periploca sepium;Yes
other interventions;persica davidiana;Yes
psychologic interventions;pet;Yes
psychologic interventions;pet therapy;Yes
other interventions;peucedanum decursivum;Yes
other interventions;phalaris arundinacea;Yes
drug;phamakodynamic;No
other interventions;pharbitis;Yes
other interventions;pharmaceutical plant;Yes
drug;pharmacological;No
drug;pharmacology;No
other interventions;phaseolus radiatus;Yes
other interventions;phellinus baumii;Yes
other interventions;phellinus linteus;Yes
other interventions;phellodendron amourense;Yes
other interventions;pheretima aspergillum;Yes
other interventions;phoeniceae;Yes
numerical interventions;phone;Yes
other interventions;phone call;Yes
nutritional interventions;phosphate salt;Yes
psychologic interventions;photoaging information;Yes
radiotherapy;photobiomodulation;No
radiotherapy;photochemotherapy;No
medical examination;photodetection;No
radiotherapy;photodynamic therapy;No
