,pmid,introduction,methods,resultats,conclusion
566,28703440,"This study was conducted in order to examine the effects of community-based education on cervical cancer prevention in relation to South Korean mothers' knowledge about the Papanicolau (Pap) test and human papillomavirus, self-confidence in communication with their daughters, and health-related beliefs about their daughters.","A quasi-experimental pre-post design was used. For the experimental group, face-to-face education was administered to 35 participants for 60\u2009min. For the control group, 35 participants were taught by using standardized materials for 20\u2009min.","The experimental group showed a significant increase in Pap test knowledge, cervical cancer knowledge, and self-confidence in communication with their daughters, compared to the control group. In the post-test, the mothers in the experimental group also perceived cervical cancer as more threatening, their daughter as more susceptible to cervical cancer, Pap tests as being recommended for their daughters, and they showed a significant increase in their self-efficacy of recommending the Pap test to their daughter.","Community-based education for mothers is effective in increasing their human papillomavirus knowledge, Pap test knowledge, improving their confidence in communication with their daughters, and in some of the health-related beliefs regarding their daughters."
567,9808823,"This study evaluated the impact of a telephone outcall intervention (based on the Transtheoretical Model) on screening mammography behavior among lower income, older women.","A geodemographic database, INFORUM, was used to identify low-income and minority neighborhoods throughout the state of Colorado. Residences were assigned randomly to three study groups: (1) control, (2) outcall only, and (3) advance &quot;invitation&quot; + outcall. Information Specialists of the Cancer Information Service implemented the protocol. Mammography adherence was assessed in telephone interviews conducted 6 months and 2 years after the initial call.","Neither intervention had a significant effect on the main outcome, receipt of mammography in the 6-month follow-up period. At 6 months, intentions to have a mammogram were significantly stronger in the intervention groups compared with the control group, particularly among those who were precontemplators at baseline. The 2-year follow-up indicated a small increase in mammography adherence attributable to the advance invitation + outcall, but this effect was restricted to those adherent at baseline. Mammography behavior during the 6-month follow-up period was predicted strongly by decisional balance, intentions, receipt of a physical and clinical breast exam, and previous mammography behavior.","The intervention promoted minimal movement in the stages of change for mammography. Outcall interventions may have promise for encouraging repeat mammography behavior, but more intensive interventions are likely to be necessary to promote behavior change among nonadherent women."
568,10228816,The impact of psychotherapeutic support on survival time in patients with gastrointestinal cancer undergoing surgery was studied.,"A randomized controlled trial was conducted in cooperation with the Departments of General Surgery and Medical Psychology, University Hospital of Hamburg, Germany. Two hundred and seventy-one consenting patients with a preliminary diagnosis of cancer of the esophagus, stomach, liver/gallbladder, pancreas or colon/rectum were stratified by gender and randomly assigned to a control group that received standard care, as provided on the surgical wards, or to an experimental group that received formal psychotherapeutic support in addition to routine care during the hospital stay. Patients in both groups completed the EORTC-Quality of Life questionnaire pre-operatively, post-operatively, and at 3, 6, 12, and 24 months following surgery. Date of death, if applicable, was also recorded. Unadjusted and adjusted survival analyses were performed.","Kaplan-Meier survival curves demonstrated better survival for the experimental group than for the control group. The unadjusted significance level for group differences was p = 0.002 for survival up to 2 years. Cox regression models that took TNM Staging or the Residual Tumor Classification into account also found significant differences at the 2-year follow-up. Secondary analyses found that most of the differences in favor of the experimental group occurred in females and in patients with stomach, pancreatic, primary liver or colorectal cancer.","The results of this study indicate that patients with gastrointestinal cancer, particularly those who are female and those who undergo surgery for stomach, pancreatic, primary liver or colorectal cancer, benefit from a formal program of psychotherapeutic support in terms of survival."
569,19061198,"We conducted pilot studies of the feasibility and efficacy of an interactive, computerized educational tool, Banking on Fatherhood (BOF).","Two small randomized trials were conducted, with 20 male cancer patients eligible to bank sperm in Study 1 and 19 oncology fellows or residents in Study 2. In each trial, half of the subjects viewed BOF before completing questionnaires, and half viewed it afterward. Outcome measures included a knowledge test in both trials and a Decisional Conflict scale in the patient trial. All participants, plus a panel of 10 experts, ultimately viewed BOF and completed a form evaluating its usability and value.","Patients who completed questionnaires after viewing BOF had significantly less decisional conflict about banking sperm than those who had not viewed it (P=0.0065), but knowledge scores were not significantly different between groups. Physicians who filled out questionnaires after viewing BOF scored significantly higher on the knowledge test (P&lt;0.006). Patients, physicians and experts rated BOF as easy to use, informative and addressing important psychosocial concerns, with videos and animations adding to the value of the educational tool.",Pilot studies suggest that BOF is a feasible intervention that could enhance decisions about sperm banking. Research with larger groups is needed to validate its effectiveness.
570,23210527,This randomized controlled trial examines whether a briefer cognitive-behavioural (CBT) stress management intervention than the norm can reduce stress and distress and enhance benefit finding in women with breast cancer. It further aims to identify characteristics of those women most likely to benefit from the intervention.,"A randomized controlled trial was conducted to assess the efficacy of a psychological intervention. Women (N = 355) who had undergone surgery for breast cancer 4 months earlier, the majority of whom were currently undergoing adjuvant therapy, completed questionnaires assessing global and cancer-specific stress, depression, anxiety, optimism and benefit finding. They were randomly assigned to a 5-week group cognitive-behavioural stress management (CBSM) programme plus standard care or standard care only. Reassessment occurred post-intervention and 12 months later.","Analyses of variance revealed that patients who received the intervention showed significant lowering of global stress and anxiety and increased benefit finding compared to controls. These differences, however, were not maintained at 12 months. Effects of the intervention were moderated by stress such that women with high global stress at baseline showed greater reduction in both stress and anxiety.","A CBSM intervention, which was briefer than the norm (5 weeks vs. 9-20 weeks), had beneficial effects on adjustment for women with breast cancer and was particularly effective for those with increased global stress. Screening on this basis may facilitate optimal and cost-effective psychological treatment."
571,30343455,"Breast cancer (BC) is a risk factor for major depressive disorder (MDD), yet little research has tested the efficacy of different psychotherapies for depressed women with BC. This study, the largest to date, compared outcomes of three evidence-based, 12-week therapies in treating major depressive disorder among women with breast cancer.","This randomized trial compared interpersonal psychotherapy (IPT), problem solving therapy (PST), and brief supportive psychotherapy (BSP). Conducted at the outpatient clinic of the New York State Psychiatric Institute/Columbia University, the trial offered bilingual treatment by treatment-specific psychotherapists supervised by treatment experts. The primary outcome was change in the Hamilton Depression Rating Scale (HAM-D) at 12\u00a0weeks. Secondary outcomes included other validated patient-reported outcomes for depression and quality of life.","Of 179 women with breast cancer screening positive for depression at the Columbia Cancer Center, 134 eligible patients signed informed treatment consent. Half of patients were Hispanic and economically disadvantaged. Most women had stage I (35.2%) or II (36.9%) BC; 9% had stage IV. The three brief psychotherapies showed similar improvements on the HAM-D, with large pre-post effect sizes (d\u2009~\u20091.0); a priori defined response rates were 35% for IPT, 50% for PST and 31% for BSP, and remission rates 25%, 30% and 27%, respectively. The three treatments also showed similar improvements in the Quality of Life Enjoyment and Satisfaction Questionnaire. Dropout was high, ranging from 37 to 52% across treatments. Predictors of dropout included having\u2009&lt;\u200916\u00a0years of education and annual family income &lt;\u2009$20,000.","Among patients who completed treatment, all three psychotherapies were associated with similar, meaningful improvements in depression. Physical distance between the oncology and psychiatric treatment sites might have contributed to high dropout. This study suggests various psychotherapy approaches may benefit patients with breast cancer and major depression."
572,30107070,"In response to the well-documented need for evidence-based cancer caregiver support, we examined the feasibility of problem-solving therapy for family caregivers of cancer patients receiving outpatient palliative care and investigated the impact of problem-solving therapy on family caregivers' anxiety, depression, and quality of life.","We conducted a feasibility study of a structured problem-solving therapy intervention delivered to family caregivers of cancer patients receiving outpatient palliative care from an academic health center in the Midwestern United States. Participants (N\u00a0=\u00a083) were randomly assigned to receive usual care or usual care plus a problem-solving therapy intervention, which was delivered over three sessions via web-based videoconferencing or telephone. Descriptive statistics were used to determine feasibility relative to recruitment, retention, and fidelity to core intervention components. Outcome data were analyzed using ordinary least squares multiple regression.",Problem-solving therapy for family caregivers of patients with cancer was found to be highly feasible in the outpatient palliative care setting. Caregivers who received problem-solving therapy reported less anxiety than those who received only usual care (P\u00a0=\u00a00.03). No statistically significant differences were observed for caregiver depression (P\u00a0=\u00a00.07) or quality of life (P\u00a0=\u00a00.06).,Problem-solving therapy is a feasible and promising approach to reducing cancer family caregivers' anxiety in the outpatient palliative care setting. Further testing in multiple sites is recommended.
573,16965740,"To investigate the immunoregulation and short-term therapeutic effects of super-selective intra-arterial chemotherapy combined with Fuzheng Kang'ai Granules, a compound Chinese herbal medicine, on patients with late gastric cancer.","Forty patients with late gastric antrum cancer were randomly divided into study group and control group. Patients in the study group were orally administered Fuzheng Kang'ai Granules 48 hours after the first super-selective left gastric artery chemotherapy with high-dose drugs (EAP regime: VP(16) 100 mg/m(2) + epirubicin 60 mg/m(2) + carboplatin 200 mg/m(2)), while patients in the control group were only administered the same local artery chemotherapy as in the study group.","The short-term therapeutic efficacy in the study group and control group were 82.5% and 57.5% respectively (P&lt;0.01). The occurrence rates of side effects in the study group were significantly lower than those in the control group (P&lt;0.01). The Karnofsky score of life quality of the study group was obviously higher than that of the control group after treatment (P&lt;0.05). The half survival time and one year survival rate in the study group and control group were (24.9 +/- 1.36) month, 70% (28/40) and (13.7 +/- 0.72) month, 35% (14/40) respectively. They were significantly improved in the study group compared with the control group (P&lt;0.01). The levels of cytokines interleukin 2 (IL-2), tumor necrosis factor-alpha (TNF-alpha), interferon-gamma (IFN-gamma) after treatment in the study group were significantly higher than those before treatment (P&lt;0.05 or P&lt;0.01), as well as than those after treatment in the control group (P&lt;0.01). On the other hand, the level of immune inhibitory factor soluble interleukin-2 receptor (sIL-2R) after treatment in the study group was lower than that before treatment, as well as than that after treatment in the control group (P&lt;0.01).","The super-selective intra-arterial chemotherapy combined with Fuzheng Kang'ai Granules has good short-term therapeutic efficiency and few side effects for patients with late gastric antrum cancer. It can significantly improve the life quality, extend the survival period, and improve the survival rate in patients with late gastric antrum cancer, which may be due to the up-regulation of the immune regulating factors such as IL-2, TNF-alpha, IFN-gamma and down-regulation of the immune inhibitory factor sIL-2R."
574,15084618,"The effectiveness of nonsteroid topical agents for the prevention of acute dermatitis during adjuvant radiotherapy for breast carcinoma has not been demonstrated. The goal of this study was to compare the effectiveness of calendula (Pommade au Calendula par Digestion; Boiron Ltd, Levallois-Perret, France) with that of trolamine (Biafine; Genmedix Ltd, France), which is considered in many institutions to be the reference topical agent.","Between July 1999 and June 2001, 254 patients who had been operated on for breast cancer and who were to receive postoperative radiation therapy were randomly allocated to application of either trolamine (128 patients) or calendula (126 patients) on the irradiated fields after each session. The primary end point was the occurrence of acute dermatitis of grade 2 or higher. Prognostic factors, including treatment modalities and patient characteristics, were also investigated. Secondary end points were the occurrence of pain, the quantity of topical agent used, and patient satisfaction.","The occurrence of acute dermatitis of grade 2 or higher was significantly lower (41% v 63%; P &lt;.001) with the use of calendula than with trolamine. Moreover, patients receiving calendula had less frequent interruption of radiotherapy and significantly reduced radiation-induced pain. Calendula was considered to be more difficult to apply, but self-assessed satisfaction was greater. Body mass index and adjuvant chemotherapy before radiotherapy after lumpectomy were significant prognostic factors for acute dermatitis.",Calendula is highly effective for the prevention of acute dermatitis of grade 2 or higher and should be proposed for patients undergoing postoperative irradiation for breast cancer.
575,10197829,We report a clinical trial comparing the effectiveness of education-based and peer discussion-based group interventions on adjustment to breast cancer.,"Women with stage I, II, or III breast cancer (n = 312) were randomly assigned to 1 of 4 group conditions: control, education, peer discussion, or education plus peer discussion (combination). Seven groups (each comprising 8-12 women) were conducted in each of the 4 conditions (28 groups total). Adjustment was measured before the intervention, immediately after the intervention, and 6 months after the intervention.","Consistently positive effects on adjustment were seen in the education groups both immediately following and 6 months after the intervention. There were no benefits of participation in peer discussion groups, and some indications of adverse effects on adjustment at both follow-up examinations. The effects could be explained by changes in self-esteem, body image, and intrusive thoughts about the illness.",Education-based group interventions facilitated the initial adjustment of women diagnosed with early stage breast cancer. There was no evidence of benefits from peer discussion group interventions.
576,15241836,The authors undertook a multiinstitutional Phase II cooperative group study to examine the potential of oral fish oil fatty acid supplements administered at high doses to slow weight loss and to improve quality of life in patients with malignancy-related cachexia.,"Patients with advanced malignancy and weight loss &gt; or = 2% of body weight in the preceding month took concentrated, high-dose omega-3 fatty acid capsules (7.5 g eicosapentaenoic acid plus docosahexaenoic acid for a 70 kg individual) that were supplied by the National Institutes of Health.","Forty-three patients with moderate or severe malnutrition were enrolled. The median time receiving treatment was 1.2 months. For the 36 patients who took at least 1 capsule and did not have edema, there was a weight change ranging from -6.2 kg to +3.5 kg and an overall median weight loss of 0.8 kg. Twenty-four patients had weight stabilization (a gain of &lt; or = 5% or a loss of &lt; 5%), 6 patients gained &gt; 5% of their body weight, and 6 patients lost &gt; or = 5% of their body weight. There was marked variability in the tolerability of the capsules, and many patients had gastrointestinal side effects. There was a correlation between time receiving treatment and weight gain for the 22 patients who were able to tolerate the capsules for at least 1 month. Quality-of-life scores were superior for patients who gained weight.","A majority of patients did not gain weight, and in that sense, the results of the study were unfavorable. However, a small but definite subset of patients had weight stabilization or weight gain. This suggests that omega-3 fatty acids have potential utility at the study doses, which were more than twice the doses used in published Phase III studies."
577,17647221,This study was designed to replicate our earlier finding that intensive group therapy extended survival time of women with metastatic breast cancer. Subsequent findings concerning the question of whether such psychosocial support affects survival have been mixed.,"One hundred twenty-five women with confirmed metastatic (n = 122) or locally recurrent (n = 3) breast cancer were randomly assigned either to the supportive-expressive group therapy condition (n = 64), where they received educational materials plus weekly supportive-expressive group therapy, or to the control condition (n = 61), where they received only educational materials for a minimum of 1 year. The treatment, 90 minutes once a week, was designed to build new bonds of social support, encourage expression of emotion, deal with fears of dying and death, help restructure life priorities, improve communication with family members and healthcare professionals, and enhance control of pain and anxiety.","Overall mortality after 14 years was 86%; median survival time was 32.8 months. No overall statistically significant effect of treatment on survival was found for treatment (median, 30.7 months) compared with control (median, 33.3 months) patients, but there was a statistically significant intervention site-by-condition interaction. Exploratory moderator analysis to explain that interaction revealed a significant overall interaction between estrogen-receptor (ER) status and treatment condition (P = .002) such that among the 25 ER-negative participants, those randomized to treatment survived longer (median, 29.8 months) than ER-negative controls (median, 9.3 months), whereas the ER-positive participants showed no treatment effect.","The earlier finding that longer survival was associated with supportive-expressive group therapy was not replicated. Although it is possible that psychosocial effects on survival are relevant to a small subsample of women who are more refractory to current hormonal treatments, further research is required to investigate subgroup differences."
578,18198648,To investigate the effect of integrative Chinese and Western medical therapy for radiative pneumonia (RP).,"Eighty patients were randomly assigned to two groups. The treated group (48 patients) was treated by Shenqi Fuzheng Injection (SFI), antibiotics and short-term pulse therapy with high efficient hormone, while the control group (32 patients) was treated only by antibiotic and hormone pulse therapy. Changes of symptoms, signs, quality of life and subsets of T-lymphocytes (CD3+, CD4+, CD8+ and CD4+/CD8+ ratio) were observed before and after 20-day treatment.","The chief symptom disappearance time was shorter (P &lt; 0.05), Karnofsky performance score was better (P &lt; 0.05) in the treated group after treatment as compared with those in the control group. Moreover, the immune function was improved in the treated group after treatment (P &lt; 0.01).","SFI combined with antibiotics and short-term pulse therapy with high efficient hormone has a good effect for radiative pneumonia, it could also increase patients' quality of life as well."
579,23109700,We aimed to assess the effectiveness of acupuncture for cancer-related fatigue (CRF) in patients with breast cancer.,"We conducted a pragmatic, randomized controlled trial comparing acupuncture with enhanced usual care. Three hundred two outpatients with breast cancer participated. We randomly assigned 75 patients to usual care and 227 patients to acupuncture plus usual care (random assignment of 1:3 respectively) with minimization controlling for baseline general fatigue and maintenance treatment. Treatment was delivered by acupuncturists once a week for 6 weeks through needling three pairs of acupoints. The usual care group received a booklet with information about fatigue and its management. Primary outcome was general fatigue at 6 weeks, measured with the Multidimensional Fatigue Inventory (MFI). Other measurements included the Hospital Anxiety and Depression Scale, Functional Assessment of Cancer Therapy-General quality-of-life scale, and expectation of acupuncture effect. Analyses were by intention to treat.","Two hundred forty-six of 302 patients randomly assigned provided complete data at 6 weeks. The difference in the mean General Fatigue score, between those who received the intervention and those who did not, was -3.11 (95% CI, -3.97 to -2.25; P &lt; .001). The intervention also improved all other fatigue aspects measured by MFI, including Physical Fatigue and Mental Fatigue (acupuncture effect, -2.36 and -1.94, respectively; both at P &lt; .001), anxiety and depression (acupuncture effect, -1.83 and -2.13, respectively; both at P &lt; .001), and quality of life (Physical Well-Being effect, 3.30; Functional Well-Being effect, 3.57; both at P &lt; .001; Emotional Well-Being effect, 1.93; P = .001; and Social Functioning Well-Being effect, 1.05; P &lt; .05).",Acupuncture is an effective intervention for managing the symptom of CRF and improving patients' quality of life.
580,23019941,To study the adjunctive roles of Qingliu Lianghou Recipe (QLR) in treatment of hypopharyngeal carcinoma.,"A total of 156 patients with hypopharyngeal squamous cell carcinoma were recruited, including 21 cases of stage I, 34 in stage II, 55 in stage III, and 46 in stage IV. Of them, 31 patients (Group A) were managed with operation and post-operative radiotherapy, 40 patients (Group B) with operation, post-operative radiotherapy, and QLR, 45 patients (Group C) were managed with concomitant chemoradiotherapy, 40 patients (Group D)with concomitant chemoradiation and QLR. QLR was given for 12 weeks. The radio- and chemotoxic reactions, quality of life (KPS score), and long-term efficacy (the recurrence time and the survival time) were observed.","The toxicity levels were significantly lower in Group B than in Group A, manifested as radioactive dermatitis, mucositis, dysphagia, changes in body weight, and lymphatic edema (P &lt; 0.05, P &lt; 0.01). The toxicity levels were significantly lower in Group D than in Group C, manifested as radioactive dermatitis, mucositis, dysphagia, marrow depression, changes in body weight, and gastrointestinal reactions (P &lt; 0.05, P &lt; 0.01). After treatment the KPS scores of all patients obviously decreased (P &lt; 0.05, P &lt; 0.01). But the KPS scores were significantly higher in Group B than in Group A (P &lt; 0.05), and they were significantly higher in Group D than in Group C (P &lt; 0.05). The 3-year recurrence rate of patients in Group A was 41.94%, 20.00% in Group B, 60.00% in Group C, and 37.50% in Group D (P &lt; 0.05). The 5-year survival rate of patients in Group A was 38.71%, 62.50% in Group B, 22.22% in Group C, and 42.50% in Group D (P &lt; 0.05).","QLR could effectively prevent and reduce the toxicity response caused by operation, radiotherapy and chemotherapy. The combination therapy of integrative medicine could postpone the recurrence and prolong the lifespan of patients. Therefore, we must not neglect the adjunctive therapy of QLR in treating hypopharyngeal carcinoma."
581,16437375,To study the protective effect of glutamine (Gln) on intestinal permeability in patients receiving chemotherapy.,"Thirty-nine patients with gastrointestinal cancer after operation were randomly divided into Gln and control groups, and received oral administration of glutamine (30 g/d) for 7 days (n=22) or not (n=17). All patients received CF+ 5-FU chemotherapy for 5 days. Serum concentration of glutamine and urinary lactulose/mannitol (L/M) ratio were measured before and 1 day after chemotherapy.","After chemotherapy, the serum Gln concentration was significantly decreased to (535.42+/- 53.75) micromol/L in the control group and increased to (54.44+/- 81.26) micromol/L in the Gln group, and there was significant difference between the two groups (P&lt; 0.01). Urine L/M ratio was significantly increased to (0.0453+/- 0.0078) in the control group and decreased to (0.0331+/- 0.0061) in the Gln group, and there was significant difference between the two groups after chemotherapy (P&lt; 0.01).","Oral administration of glutamine granules can increase serum concentration of glutamine in chemotherapy patients with gastrointestinal cancer and can decrease intestinal permeability, maintain intestinal barrier."
582,16417695,To compare the effectiveness and cost-effectiveness of three methods of inviting women with a long history of non-attendance to undergo cervical screening.,"Randomized controlled trial and cost-effectiveness analysis. In all, 1140 women were identified from routine NHS screening records as having no smear for at least 15 years and randomly allocated to receive a telephone call from a nurse, a letter from a well-known celebrity (Claire Rayner) or letter from the local NHS Cervical Screening Commissioner. Uptake of screening was measured using routine data and attributed to interventions if occurring within three months. Uptake was compared with a control group. Costs of carrying out the interventions were noted from the perspective of the NHS and cost-effectiveness, as cost per additional attender, calculated.","Uptake following all interventions was low: telephone call (1.4, 95% confidence interval [CI] 0.38-3.6%); celebrity letter (1.8, 95% CI 0.57-4.0%); commissioner letter (4.6, 95% CI 2.5-7.7%); control group (1.8, 95% CI 0.57-4.0%). There were no significant differences between groups. Telephone intervention was not possible in a quarter of women whose numbers were unlisted. Telephone intervention was the most expensive and least effective of the interventions. The commissioner letter yielded an additional attender within three months at an incremental cost of 23.21 pounds compared with taking no action.","Neither a telephone call from a nurse nor a letter from a celebrity to encourage attendance for cervical screening were effective or cost-effective in women with a prolonged history of non-participation in the screening programme. A letter from the local cervical screening programme commissioner resulted in a small, non-significant increase in uptake. The low cost and ease of implementation of this intervention supports further research into its use in routine practice."
583,17661342,"It has been shown that nonpharmacologic interventions are effective management techniques for cancer-related fatigue (CRF) in cancer survivors. However, few studies have investigated their effectiveness in patients who are receiving chemotherapy. In this study, the authors tested the effectiveness of a brief behaviorally oriented intervention in reducing CRF and improving physical function and associated distress in individuals who were receiving chemotherapy.","For this randomized controlled trial, 60 patients with cancer were recruited and received either usual care or the intervention. The intervention was delivered on an individual basis on 3 occasions over a period from 9 weeks to 12 weeks, and the objective of the intervention was to alter fatigue-related thoughts and behavior. Primary outcomes were assessed as follows: CRF using the Visual Analogue Scale-Global Fatigue; physical functioning using the European Organization for Research and Treatment of Cancer Quality-of-Life Core 30 Questionnaire, and CRF-associated distress using the Fatigue Outcome Measure. Assessments were made on 4 occasions: at baseline (T0), at the end of chemotherapy (T1), 1 month after chemotherapy (T2), and 9 months after recruitment (T3). Normally distributed data were analyzed using t tests and random-slope/random-intercept mixed models.","The intervention demonstrated a trend toward improved CRF, although this effect was reduced once confounders had been controlled statistically. There was a significant improvement in physical functioning (coefficient, 10.0; 95% confidence interval, 2.5-17.5; P = .009), and this effect remained once the confounding effects of mood disturbance and comorbid disorders were controlled statistically. No decrease in fatigue-related distress was detected.","The behaviorally oriented intervention brought about significant improvements in physical functioning, indicated a trend toward improved CRF, but detected no effect for fatigue-related distress."
584,28169575,"The ENGAGE (efficacy of a referral and physical activity program for survivors of prostate cancer) study established that a clinician referral and 12-week exercise training program increased vigorous physical activity at 12 weeks among men with prostate cancer. Here, we report the 6- and 12-month outcomes.","In this multicenter cluster randomized controlled trial, we compared a clinician referral and exercise training program to usual care. Discounted gym membership was offered to men in the intervention condition on completion of the 12-week exercise program. Self-reported physical activity at 6 and 12 months was the primary outcome. Quality of life, anxiety, and depressive symptoms were secondary outcomes.","A total of 147 men meeting eligibility criteria agreed to participate (54 intervention, 93 control). A positive interaction effect for vigorous physical activity was observed at 6 months, but not 12 months. No significant effects for the secondary outcomes were found.","A clinician referral and community-based supervised and unsupervised exercise training program, along with discounted gym membership, had a positive short-term effect on vigorous physical activity levels, but did not improve quality of life, in men with prostate cancer."
585,29624807,"Meaning-centered group psychotherapy for cancer survivors (MCGP-CS) improves meaning, psychological well-being, and mental adjustment to cancer and reduces psychological distress. This randomized controlled trial was conducted to investigate the cost-utility of MCGP-CS compared with supportive group psychotherapy (SGP) and care-as-usual (CAU).","In total, 170 patients were randomized to MCGP-CS, SGP, or CAU. Intervention costs, direct medical and nonmedical costs, productivity losses, and health-related quality of life were measured until 6\u00a0months follow-up, using the TIC-P, PRODISQ, data from the hospital information system, and the EQ-5D. The cost-utility was calculated by comparing mean cumulative costs and quality-adjusted life years (QALYs).","Mean total costs ranged from \u20ac4492 (MCGP-CS) to \u20ac5304 (CAU). Mean QALYs ranged .507 (CAU) to .540 (MCGP-CS). MCGP-CS had a probability of 74% to be both less costly and more effective than CAU, and 49% compared with SGP. Sensitivity analyses showed these findings are robust. If society is willing to pay \u20ac0 for one gained QALY, MCGP-CS has a 78% probability of being cost-effective compared with CAU. This increases to 85% and 92% at willingness-to-pay thresholds of \u20ac10\u00a0000 and \u20ac30\u00a0000, which are commonly accepted thresholds.","MCGP-CS is highly likely a cost-effective intervention, meaning that there is a positive balance between the costs and gains of MCGP-CS, in comparison with SGP and CAU."
586,8635032,This investigation examined factors affecting patient involvement in consultations to decide local treatment for early breast cancer and the effectiveness of two methods of preconsultation education aimed at increasing patient participation in these discussions.,"Sixty patients with Stage I or II breast cancer (1) were pretested on their knowledge about breast cancer treatment and optimism for the future, (2) were randomly assigned to one of two methods for preconsultation education: interactive multimedia program or brochure, (3) completed knowledge and optimism measures, (4) consulted with a medical oncologist, radiation oncologist, and general surgeon, and (5) completed self-report measures assessing their involvement in the consultations and control over decision-making. The consultations were audiorecorded and analyzed to identify behavioral indicators of patient involvement (question-asking, opinion-giving, and expressing concern) and physician utterances encouraging patient participation.","College-educated patients younger than 65 years of age were more active participants in these consultations than were older, less educated patients. In addition, patients showed more involvement when they interacted with physicians who encouraged and facilitated patient participation. The method of education did not affect patient involvement although patients tended to learn more about breast cancer treatment after using the multimedia program than after reading the brochure.","Although patients vary in their expressiveness, physicians may be able to increase patient participation in deciding treatment by using patient-centered behavior. Also, preconsultation education appears to be an effective clinical strategy for helping patients gain an accurate understanding of their treatment options before meeting with physicians."
587,23019940,"To observe the effects of Compound Zhebei Granule (CZG) as the main intervention and treatment protocol on the sustained remission time, the median survival time, the relapse rate, and the mortality rate of refractory acute leukemia (RAL) patients.","The RAL subjects, who were completely released after one standard chemotherapeutic course of the National Support Scheme (Chinese medicine interventions and standard chemotherapy of Western medicine in the peri-chemotherapy) were followed-up to get knowledge of the sustained remission time, the survival time, the relapse rate, and the morbidity.","Totally 41 patients were finally accounted into the statistics, 20 in the treatment group and 21 in the control group. The sustained remission time was 172 days in the treatment group and 115 days in the control group, the median survival time was 363 days and 201 days respectively. The relapse rate of the treatment group within 3 months, 6 months,1 year, and the total relapse rate was 30.0%, 50.0%, 70.0%, and 90.0%, respectively, lower than that of the control group (being 42.8%, 76.2%, 90.5%, 90.5%, respectively). The mortality rate of the treatment group was 80.0%, 5.7% lower than that of the control group (85.7%).","CZG could lengthen the sustained remission time for RAL patients, elevate their survival time, and reduce the relapse rate and the mortality rate."
588,17875274,"The Tepeyac Project is a church-based health promotion project that was conducted from 1999 through 2005 to increase breast cancer screening rates among Latinas in Colorado. Previous reports evaluated the project among Medicare and Medicaid enrollees in the state. In this report, we evaluate the program among enrollees in the state's five major insurance plans.","We compared the Tepeyac Project's two interventions: the Printed Intervention and the Promotora Intervention. In the first, we mailed culturally tailored education packages to 209 Colorado Catholic churches for their use. In the second, promotoras (peer counselors) in four Catholic churches delivered breast-health education messages personally. We compared biennial mammogram claims from the five insurance plans in the analysis at baseline (1998-1999) and during follow-up (2000-2001) for Latinas who had received the interventions. We used generalized estimating equations (GEE) analysis to adjust rates for confounders.","The mammogram rate for Latinas in the Printed Intervention remained the same from baseline to follow-up (58% [2979/5130] vs 58% [3338/5708]). In the Promotora Intervention, the rate was 59% (316/536) at baseline and 61% (359/590) at follow-up. Rates increased modestly over time and varied widely by insurance type. After adjusting for age, income, urban versus rural location, disability, and insurance type, we found that women exposed to the Promotora Intervention had a significantly higher increase in biennial mammograms than did women exposed to the Printed Intervention (GEE parameter estimate = .24 [+/-.11], P = .03).","For insured Latinas, personally delivering church-based education through peer counselors appears to be a better breast-health promotion method than mailing printed educational materials to churches."
589,18457329,Shoulder pain and disability are well recognized complications associated with surgery for head and neck cancer. This study was designed to examine the effects of progressive resistance exercise training (PRET) on upper extremity pain and dysfunction in postsurgical head and neck cancer survivors.,"Fifty-two head and neck cancer survivors were assigned randomly to PRET (n = 27) or a standardized therapeutic exercise protocol (TP) (n = 25) for 12 weeks. The primary endpoint was change in patient-rated shoulder pain and disability from baseline to postintervention. Secondary endpoints were upper extremity strength and endurance, range of motion, fatigue, and quality of life.","Follow-up assessment for the primary outcome was 92%, and adherence to the supervised PRET and TP programs were 95% and 87%, respectively. On the basis of intention-to-treat analyses, PRET was superior to TP for improving shoulder pain and disability (-9.6; 95% confidence interval [95% CI], -16.4 to -4.5; P = .001), upper extremity strength (+10.8 kg; 95% CI, 5.4-16.2 kg; P &lt; .001), and upper extremity endurance (+194 repetitions x kg; 95% CI, 10-378 repetitions x kg; P = .039). Changes in neck dissection impairment, fatigue, and quality of life favored the PRET group but did not reach statistical significance.",The PRET program significantly reduced shoulder pain and disability and improved upper extremity muscular strength and endurance in head and neck cancer survivors who had shoulder dysfunction because of spinal accessory nerve damage. Clinicians should consider the addition of PRET in the rehabilitation of postsurgical head and neck cancer survivors.
